food_id,name,fdc_id,source_database,source_dataset,source_data_type,source_food_name,publication_date,download_date,match_status,imputed_fields,gi_value,gi_status,notes
U021,Kale,169355,USDA FoodData Central,sr_legacy,sr_legacy_food,"Kale, cooked, boiled, drained, with salt",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U022,Carrot,170393,USDA FoodData Central,sr_legacy,sr_legacy_food,"Carrots, raw",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,39,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U023,Cucumber,169225,USDA FoodData Central,sr_legacy,sr_legacy_food,"Cucumber, peeled, raw",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U024,Mushroom,169251,USDA FoodData Central,sr_legacy,sr_legacy_food,"Mushrooms, white, raw",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U025,Romaine lettuce,169247,USDA FoodData Central,sr_legacy,sr_legacy_food,"Lettuce, cos or romaine, raw",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,15,category_proxy_nonstarchy_vegetable,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U026,Orange,169918,USDA FoodData Central,sr_legacy,sr_legacy_food,"Oranges, raw, Florida",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,43,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U027,Grapes,2709237,USDA FoodData Central,survey,survey_fndds_food,"Grapes, raw",2022-10-28,2026-05-26,manual_override_candidate,added_sugar_g,53,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U028,Strawberries,167762,USDA FoodData Central,sr_legacy,sr_legacy_food,"Strawberries, raw",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,40,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U029,Avocado,171707,USDA FoodData Central,sr_legacy,sr_legacy_food,"Avocados, raw, Florida",2019-04-01,2026-05-26,automatic_candidate_needs_manual_review,added_sugar_g,15,category_proxy_low_carb_fruit,Parallel USDA candidate dataset; legacy v2 table is unchanged.
U030,Orange juice,169098,USDA FoodData Central,sr_legacy,sr_legacy_food,"Orange juice, raw (Includes foods for USDA's Food Distribution Program)",2019-04-01,2026-05-26,manual_override_candidate,added_sugar_g,50,estimated_from_legacy_table,Parallel USDA candidate dataset; legacy v2 table is unchanged.
